운동 이름,유/무산소,운동 부위,도구,단체유무,장소,나이,비만도,성별,상장,운동순서,순위
다리굽혀 허리 비틀기,유산소,"허리,고관절",없음,개인,실내,10대,3단계비만,F,2등급,준비운동,1
옆으로 누워 가슴 열기,유산소,"상체,가슴",없음,개인,실내,10대,2단계비만,M,참가증,마무리운동,5
사다리 이용 루틴 운동,유산소,"전신,허벅지,종아리",사다리,개인,실내,10대,2단계비만,M,참가증,마무리운동,4
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,2단계비만,M,참가증,마무리운동,3
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,2단계비만,M,참가증,마무리운동,2
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,10대,2단계비만,M,참가증,마무리운동,1
줄넘기,유산소,"전신,하체,허벅지",줄넘기,개인,야외,10대,2단계비만,M,참가증,본운동,5
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,10대,2단계비만,M,참가증,본운동,4
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,10대,2단계비만,M,참가증,본운동,3
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,10대,2단계비만,M,참가증,본운동,2
팔굽혀 펴기,무산소,"팔,어깨,상체",없음,개인,실내,10대,2단계비만,M,참가증,본운동,1
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,10대,2단계비만,M,참가증,준비운동,5
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,10대,2단계비만,M,참가증,준비운동,4
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,2단계비만,M,참가증,준비운동,3
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,10대,2단계비만,M,참가증,준비운동,2
목 스트레칭,유산소,목,없음,개인,실내,10대,2단계비만,M,참가증,준비운동,1
엉덩이 스트레칭2,유산소,엉덩이,없음,개인,실내,10대,2단계비만,F,참가증,마무리운동,5
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,10대,2단계비만,F,참가증,마무리운동,4
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,10대,2단계비만,F,참가증,마무리운동,3
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,10대,2단계비만,F,참가증,마무리운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,2단계비만,M,3등급,마무리운동,1
달리기,유산소,"전신,허벅지",없음,개인,야외,10대,2단계비만,M,3등급,본운동,5
한발 앞으로 내밀고 앉았다 일어서기,무산소,"하체,허벅지,종아리",없음,개인,실내,10대,2단계비만,M,3등급,본운동,4
누워서 엉덩이 들어올리기,무산소,"등,허리,엉덩이",없음,개인,실내,10대,2단계비만,M,3등급,본운동,3
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,10대,2단계비만,M,3등급,본운동,2
엎드려서 팔 다리 들기,유산소,"등,허리",없음,개인,실내,10대,2단계비만,M,3등급,본운동,1
폼롤러 이용 유연성운동 루틴 프로그램,무산소,"어깨,허리,하체",폼롤러,개인,실내,10대,2단계비만,M,3등급,준비운동,5
가슴 어깨 펴기,유산소,가슴,없음,단체,실내,10대,2단계비만,M,3등급,준비운동,4
옆구리늘리기,유산소,"상체,복부,어깨,팔",없음,개인,실내,10대,2단계비만,M,3등급,준비운동,3
탄력밴드 어깨 가쪽 돌림,무산소,"상체,어깨",밴드,개인,실내,10대,2단계비만,M,3등급,준비운동,2
목 스트레칭,유산소,목,없음,개인,실내,10대,2단계비만,M,3등급,준비운동,1
아쿠아로빅-발 닿기,유산소,"전신,하체",물,단체,수영장,10대,2단계비만,M,2등급,마무리운동,5
앉았다 일어서면서 점프하기,무산소,"하체,허벅지",없음,개인,실내,10대,2단계비만,M,2등급,마무리운동,4
밴드 걸고 앉아서 발등 굽힘,무산소,"하체,종아리",밴드,개인,실내,10대,2단계비만,M,2등급,마무리운동,3
서서 팔꿈치 펴기,유산소,팔,없음,개인,실내,10대,2단계비만,M,2등급,마무리운동,2
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,10대,2단계비만,M,2등급,마무리운동,1
버피 테스트,유산소,"전신,팔,허벅지",없음,개인,실내,10대,2단계비만,M,2등급,본운동,5
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,10대,2단계비만,M,2등급,본운동,4
밴드 잡고 누워서 다리 밀기,무산소,"다리,허벅지",밴드,개인,실내,10대,2단계비만,M,2등급,본운동,3
목봉잡고 앉았다 일어나기,무산소,"하체,허벅지,종아리",막대,개인,실내,10대,2단계비만,M,2등급,본운동,2
팔굽혀 펴기,무산소,"팔,어깨,상체",없음,개인,실내,10대,2단계비만,M,2등급,본운동,1
아래 팔 스트레칭,유산소,팔,없음,개인,실내,10대,2단계비만,M,2등급,준비운동,5
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,10대,2단계비만,M,2등급,준비운동,4
목 돌리기,유산소,목,없음,개인,실내,10대,2단계비만,M,2등급,준비운동,3
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,10대,2단계비만,M,2등급,준비운동,2
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,2단계비만,M,2등급,준비운동,1
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,2단계비만,F,참가증,준비운동,3
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,10대,2단계비만,F,참가증,준비운동,2
목 스트레칭,유산소,목,없음,개인,실내,10대,2단계비만,F,참가증,준비운동,1
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,10대,1단계비만,M,참가증,마무리운동,5
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,1단계비만,M,참가증,마무리운동,4
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,1단계비만,M,참가증,마무리운동,3
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,10대,1단계비만,M,참가증,마무리운동,2
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,10대,1단계비만,M,참가증,마무리운동,1
달리기,유산소,"전신,허벅지",없음,개인,야외,10대,1단계비만,M,참가증,본운동,5
앉았다 일어서기,무산소,"하체,허벅지,허리",없음,개인,실내,10대,1단계비만,M,참가증,본운동,4
팔굽혀 펴기,무산소,"팔,어깨,상체",없음,개인,실내,10대,1단계비만,M,참가증,본운동,3
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,10대,1단계비만,M,참가증,본운동,2
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,10대,1단계비만,M,참가증,본운동,1
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,10대,1단계비만,M,참가증,준비운동,5
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,10대,1단계비만,M,참가증,준비운동,4
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,1단계비만,M,참가증,준비운동,3
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,10대,1단계비만,M,참가증,준비운동,2
목 스트레칭,유산소,목,없음,개인,실내,10대,1단계비만,M,참가증,준비운동,1
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,10대,2단계비만,F,3등급,마무리운동,5
조깅,유산소,"전신,하벅지,종아리",없음,개인,야외,10대,2단계비만,F,3등급,마무리운동,4
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,10대,2단계비만,F,3등급,마무리운동,3
목 스트레칭,유산소,목,없음,개인,실내,10대,2단계비만,F,3등급,마무리운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,2단계비만,F,3등급,마무리운동,1
누워서 다리 들어올리기,무산소,"복부,허리",없음,개인,실내,10대,2단계비만,F,3등급,본운동,5
엎드려서 팔 다리 들기,유산소,"등,허리",없음,개인,실내,10대,2단계비만,F,3등급,본운동,4
네발기기 자세로 팔 다리 들기,유산소,"허리,등,허벅지",없음,개인,실내,10대,2단계비만,F,3등급,본운동,3
네발기기 자세에서 다리 위로 뻗어올리기,유산소,"엉덩이,등,복부",밴드,개인,실내,10대,2단계비만,F,3등급,본운동,2
누워서 배가로근 수축 II,무산소,"하체,허벅지,종아리,복부,엉덩이",없음,개인,실내,10대,2단계비만,F,3등급,본운동,1
작은 공을 이용한 동적 루틴 스트레칭,무산소,"허리,옆구리,어깨,팔",볼,개인,실내,10대,2단계비만,F,3등급,준비운동,5
폼롤러 이용 유연성운동 루틴 프로그램,무산소,"어깨,허리,하체",폼롤러,개인,실내,10대,2단계비만,F,3등급,준비운동,4
가슴 어깨 펴기,유산소,가슴,없음,단체,실내,10대,2단계비만,F,3등급,준비운동,3
탄력밴드 어깨 가쪽 돌림,무산소,"상체,어깨",밴드,개인,실내,10대,2단계비만,F,3등급,준비운동,2
옆구리늘리기,유산소,"상체,복부,어깨,팔",없음,개인,실내,10대,2단계비만,F,3등급,준비운동,1
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,10대,2단계비만,F,2등급,본운동,5
벽에서 팔굽혀 펴기,무산소,"어깨,팔",없음,개인,실내,10대,2단계비만,F,2등급,본운동,4
목봉잡고 앉았다 일어나기,무산소,"하체,허벅지,종아리",막대,개인,실내,10대,2단계비만,F,2등급,본운동,3
밴드 잡고 누워서 다리 밀기,무산소,"다리,허벅지",밴드,개인,실내,10대,2단계비만,F,2등급,본운동,2
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,10대,2단계비만,F,2등급,본운동,1
사다리 걷기,유산소,"하체,허벅지,종아리",사다리,개인,실내,10대,2단계비만,F,2등급,준비운동,5
성화봉송,유산소,"전신,허벅지",풍선,단체,실내,10대,2단계비만,F,2등급,준비운동,4
양발 모아 좌우 뛰기,유산소,"하체,종아리,허벅지",줄넘기,개인,야외,10대,2단계비만,F,2등급,준비운동,3
요가 및 필라테스 루틴프로그램,무산소,"등,허리,목,복부,허벅지",없음,개인,실내,10대,2단계비만,F,2등급,준비운동,2
뛰어 밀기,유산소,전신,없음,개인,실내,10대,2단계비만,F,2등급,준비운동,1
의자에 앉아 볼 돌리기,유산소,팔,"볼, 의자",개인,실내,10대,1단계비만,M,2등급,마무리운동,5
공 잡고 들어올리기,무산소,"허리,엉덩이,허벅지",볼,개인,실내,10대,1단계비만,M,2등급,마무리운동,4
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,10대,1단계비만,M,2등급,마무리운동,3
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,1단계비만,M,2등급,마무리운동,2
수영,유산소,"전신,어깨,허벅지",물,개인,수영장,10대,2단계비만,F,1등급,준비운동,5
짐볼 앉기 평형성 운동 루틴 프로그램,무산소,"하체,허리,허벅지",볼,개인,실내,10대,1단계비만,F,참가증,마무리운동,5
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,1단계비만,F,참가증,마무리운동,4
자가근막이완술 루틴 스트레칭,무산소,"하체,허벅지,종아리",폼롤러,개인,실내,10대,1단계비만,F,참가증,마무리운동,3
무릎굽혀 원 그리기,유산소,"하체,허벅지,고관절",없음,개인,실내,10대,1단계비만,F,참가증,마무리운동,2
하지 루틴 스트레칭2,무산소,"하체,종아리,허벅지,고관절",없음,개인,실내,10대,1단계비만,F,참가증,마무리운동,1
버피 테스트,유산소,"전신,팔,허벅지",없음,개인,실내,10대,1단계비만,F,참가증,본운동,5
볼 튕기면서 스쿼트,유산소,"허벅지,상체",볼,단체,실내,10대,1단계비만,F,참가증,본운동,4
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,10대,1단계비만,F,참가증,본운동,3
팔굽혀 펴기,무산소,"팔,어깨,상체",없음,개인,실내,10대,1단계비만,F,참가증,본운동,2
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,10대,1단계비만,F,참가증,본운동,1
등/어깨 뒤쪽 스트레칭,유산소,"상체,등,어깨",없음,개인,실내,10대,1단계비만,F,참가증,준비운동,5
몸통 들어올리기,무산소,"허리,고관절,허벅지",없음,개인,실내,10대,1단계비만,F,참가증,준비운동,4
유산소 운동 전 동적 루틴 스트레칭,유산소,"전신,하체,허벅지",없음,개인,실내,10대,1단계비만,F,참가증,준비운동,3
목 스트레칭,유산소,목,없음,개인,실내,10대,1단계비만,F,참가증,준비운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,1단계비만,F,참가증,준비운동,1
목 스트레칭,유산소,목,없음,개인,실내,10대,1단계비만,M,3등급,마무리운동,5
엉덩이 스트레칭,유산소,엉덩이,없음,개인,실내,10대,1단계비만,M,3등급,마무리운동,4
상지 루틴 스트레칭,유산소,"상체,어깨",없음,개인,실내,10대,1단계비만,M,3등급,마무리운동,3
하지 루틴 스트레칭1,무산소,"종아리,고관절,하체",없음,개인,실내,10대,1단계비만,M,3등급,마무리운동,2
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,1단계비만,M,3등급,마무리운동,1
누워서 엉덩이 들어올리기,무산소,"등,허리,엉덩이",없음,개인,실내,10대,1단계비만,M,3등급,본운동,5
턱걸이,무산소,"팔,상체,가슴",철봉,개인,실내,10대,1단계비만,M,3등급,본운동,4
달리기,유산소,"전신,허벅지",없음,개인,야외,10대,1단계비만,M,3등급,본운동,3
엎드려 버티기,무산소,"복부,상체,전신",없음,개인,실내,10대,1단계비만,M,3등급,본운동,2
윗몸올리기,무산소,"복부,허리,고관절,상체",없음,개인,실내,10대,1단계비만,M,3등급,본운동,1
작은 공을 이용한 동적 루틴 스트레칭,무산소,"허리,옆구리,어깨,팔",볼,개인,실내,10대,1단계비만,M,3등급,준비운동,5
짐볼을 이용한 동적 루틴 스트레칭,무산소,"허리,옆구리",볼,개인,실내,10대,1단계비만,M,3등급,준비운동,4
전신 루틴 스트레칭,무산소,"전신,상체,하체",없음,개인,실내,10대,1단계비만,M,3등급,준비운동,3
